gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000029359,Tesc,tescalcin,NCBIGene:57816,
ENSMUSG00000042401,Crtac1,cartilage acidic protein 1,NCBIGene:72832,
ENSMUSG00000000794,Kcnn3,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",NCBIGene:140493,
ENSMUSG00000021097,Clmn,calmin,NCBIGene:94040,
ENSMUSG00000071379,Hpcal1,hippocalcin-like 1,NCBIGene:53602,
ENSMUSG00000033308,Dpyd,dihydropyrimidine dehydrogenase,NCBIGene:99586,
ENSMUSG00000003411,Rab3b,"RAB3B, member RAS oncogene family",NCBIGene:69908,
ENSMUSG00000018339,Gpx3,glutathione peroxidase 3,NCBIGene:14778,
ENSMUSG00000063296,Tmem117,transmembrane protein 117,NCBIGene:320709,
ENSMUSG00000042567,Nek10,NIMA (never in mitosis gene a)- related kinase 10,NCBIGene:674895,
ENSMUSG00000047161,Chst9,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9,NCBIGene:71367,
ENSMUSG00000047139,Cd24a,CD24a antigen,NCBIGene:12484,
ENSMUSG00000021303,Gng4,"guanine nucleotide binding protein (G protein), gamma 4",NCBIGene:14706,
ENSMUSG00000045912,C2cd4c,C2 calcium-dependent domain containing 4C,NCBIGene:237397,
ENSMUSG00000031380,Vegfd,vascular endothelial growth factor D,NCBIGene:14205,
ENSMUSG00000020811,Wscd1,WSC domain containing 1,NCBIGene:216881,
ENSMUSG00000097393,D030068K23Rik,RIKEN cDNA D030068K23 gene,NCBIGene:628686,
ENSMUSG00000028031,Dkk2,dickkopf WNT signaling pathway inhibitor 2,NCBIGene:56811,
ENSMUSG00000037610,Kcnmb2,"potassium large conductance calcium-activated channel, subfamily M, beta member 2",NCBIGene:72413,
ENSMUSG00000032271,Nnmt,nicotinamide N-methyltransferase,NCBIGene:18113,
ENSMUSG00000075316,Scn9a,"sodium channel, voltage-gated, type IX, alpha",NCBIGene:20274,
ENSMUSG00000061702,Tmem91,transmembrane protein 91,NCBIGene:320208,
ENSMUSG00000046561,Arsj,arylsulfatase J,NCBIGene:271970,
ENSMUSG00000029168,Dpysl5,dihydropyrimidinase-like 5,NCBIGene:65254,
ENSMUSG00000027568,Ntsr1,neurotensin receptor 1,NCBIGene:18216,
ENSMUSG00000034993,Vat1,vesicle amine transport 1,NCBIGene:26949,
ENSMUSG00000108532,Gm32647,"predicted gene, 32647",,
ENSMUSG00000020023,Tmcc3,transmembrane and coiled coil domains 3,NCBIGene:319880,
ENSMUSG00000020642,Rnf144a,ring finger protein 144A,NCBIGene:108089,
ENSMUSG00000037348,Paqr7,progestin and adipoQ receptor family member VII,NCBIGene:71904,
ENSMUSG00000034614,Pik3ip1,phosphoinositide-3-kinase interacting protein 1,NCBIGene:216505,
ENSMUSG00000045027,Prss22,"protease, serine 22",NCBIGene:70835,
ENSMUSG00000027584,Oprl1,opioid receptor-like 1,NCBIGene:18389,
ENSMUSG00000039519,Cyp7b1,"cytochrome P450, family 7, subfamily b, polypeptide 1",NCBIGene:13123,
ENSMUSG00000048960,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",NCBIGene:109294,
ENSMUSG00000050541,Adra1b,"adrenergic receptor, alpha 1b",NCBIGene:11548,
ENSMUSG00000075012,Fjx1,four jointed box 1,NCBIGene:14221,
ENSMUSG00000025875,Tspan17,tetraspanin 17,NCBIGene:74257,
ENSMUSG00000038936,Sccpdh,saccharopine dehydrogenase (putative),NCBIGene:109232,
ENSMUSG00000048058,Ldlrad3,low density lipoprotein receptor class A domain containing 3,NCBIGene:241576,
ENSMUSG00000040653,Ppp1r14c,"protein phosphatase 1, regulatory inhibitor subunit 14C",NCBIGene:76142,
ENSMUSG00000028082,Sh3d19,SH3 domain protein D19,NCBIGene:27059,
ENSMUSG00000050069,Grem2,"gremlin 2, DAN family BMP antagonist",NCBIGene:23893,
ENSMUSG00000063430,Wscd2,WSC domain containing 2,NCBIGene:320916,
ENSMUSG00000098097,6530403H02Rik,RIKEN cDNA 6530403H02 gene,,
ENSMUSG00000025969,Nrp2,neuropilin 2,NCBIGene:18187,
ENSMUSG00000022382,Wnt7b,"wingless-type MMTV integration site family, member 7B",NCBIGene:22422,
ENSMUSG00000024501,Dpysl3,dihydropyrimidinase-like 3,NCBIGene:22240,
ENSMUSG00000087651,1500009L16Rik,RIKEN cDNA 1500009L16 gene,NCBIGene:69784,
ENSMUSG00000049420,Tmem200a,transmembrane protein 200A,NCBIGene:77220,
ENSMUSG00000035305,Ror1,receptor tyrosine kinase-like orphan receptor 1,NCBIGene:26563,
ENSMUSG00000041961,Znrf3,zinc and ring finger 3,NCBIGene:407821,
ENSMUSG00000045333,Zfp423,zinc finger protein 423,NCBIGene:94187,
ENSMUSG00000003534,Ddr1,"discoidin domain receptor family, member 1",NCBIGene:12305,
ENSMUSG00000025931,Paqr8,progestin and adipoQ receptor family member VIII,NCBIGene:74229,
ENSMUSG00000028360,Slc44a5,"solute carrier family 44, member 5",NCBIGene:242259,
ENSMUSG00000036402,Gng12,"guanine nucleotide binding protein (G protein), gamma 12",NCBIGene:14701,
ENSMUSG00000020121,Srgap1,SLIT-ROBO Rho GTPase activating protein 1,NCBIGene:117600,
ENSMUSG00000094910,D430019H16Rik,RIKEN cDNA D430019H16 gene,NCBIGene:268595,
ENSMUSG00000066406,Akap13,A kinase (PRKA) anchor protein 13,NCBIGene:75547,
ENSMUSG00000037940,Inpp4b,"inositol polyphosphate-4-phosphatase, type II",NCBIGene:234515,
ENSMUSG00000061132,Blnk,B cell linker,NCBIGene:17060,
ENSMUSG00000051111,Sv2c,synaptic vesicle glycoprotein 2c,NCBIGene:75209,
ENSMUSG00000029819,Npy,neuropeptide Y,NCBIGene:109648,
ENSMUSG00000116760,Gm1604a,predicted gene 1604A,,
ENSMUSG00000102715,Gm6209,predicted gene 6209,,
ENSMUSG00000068748,Ptprz1,"protein tyrosine phosphatase, receptor type Z, polypeptide 1",NCBIGene:19283,
ENSMUSG00000100706,Gm19744,"predicted gene, 19744",,
ENSMUSG00000033007,Asic4,acid-sensing (proton-gated) ion channel family member 4,NCBIGene:241118,
ENSMUSG00000097974,Gm10605,predicted gene 10605,,
ENSMUSG00000087247,Alkal1,ALK and LTK ligand 1,NCBIGene:620393,
ENSMUSG00000028004,Npy2r,neuropeptide Y receptor Y2,NCBIGene:18167,
ENSMUSG00000015568,Lpl,lipoprotein lipase,NCBIGene:16956,
ENSMUSG00000038059,Smim3,small integral membrane protein 3,NCBIGene:106878,
ENSMUSG00000042581,Thsd7b,"thrombospondin, type I, domain containing 7B",NCBIGene:210417,
ENSMUSG00000031925,Maml2,mastermind like transcriptional coactivator 2,NCBIGene:270118,
ENSMUSG00000062151,Unc13c,unc-13 homolog C,NCBIGene:208898,
ENSMUSG00000054944,5330416C01Rik,RIKEN cDNA 5330416C01 gene,NCBIGene:403201,
ENSMUSG00000049690,Nckap5,NCK-associated protein 5,NCBIGene:210356,
ENSMUSG00000022246,Rai14,retinoic acid induced 14,NCBIGene:75646,
ENSMUSG00000017692,Rhbdl3,rhomboid like 3,NCBIGene:246104,
ENSMUSG00000045648,Vwc2l,von Willebrand factor C domain-containing protein 2-like,NCBIGene:320460,
ENSMUSG00000031618,Nr3c2,"nuclear receptor subfamily 3, group C, member 2",NCBIGene:110784,
ENSMUSG00000021180,Rps6ka5,"ribosomal protein S6 kinase, polypeptide 5",NCBIGene:73086,
ENSMUSG00000020623,Map2k6,mitogen-activated protein kinase kinase 6,NCBIGene:26399,
ENSMUSG00000044167,Foxo1,forkhead box O1,NCBIGene:56458,
ENSMUSG00000020674,Pxdn,peroxidasin,NCBIGene:69675,
ENSMUSG00000042686,Jph1,junctophilin 1,NCBIGene:57339,
ENSMUSG00000056708,Ier5,immediate early response 5,NCBIGene:15939,
ENSMUSG00000019970,Sgk1,serum/glucocorticoid regulated kinase 1,NCBIGene:20393,
ENSMUSG00000021221,Dpf3,"D4, zinc and double PHD fingers, family 3",NCBIGene:70127,
ENSMUSG00000036030,Prtg,protogenin,NCBIGene:235472,
ENSMUSG00000055010,A830031A19Rik,RIKEN cDNA A830031A19 gene,,
ENSMUSG00000026042,Col5a2,"collagen, type V, alpha 2",NCBIGene:12832,
ENSMUSG00000020961,Ston2,stonin 2,NCBIGene:108800,
ENSMUSG00000036766,Dner,delta/notch-like EGF repeat containing,NCBIGene:227325,
ENSMUSG00000025013,Tll2,tolloid-like 2,NCBIGene:24087,
ENSMUSG00000042066,Tmcc2,transmembrane and coiled-coil domains 2,NCBIGene:68875,
ENSMUSG00000028780,Sema3c,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C",NCBIGene:20348,
ENSMUSG00000050640,Tmem150c,transmembrane protein 150C,NCBIGene:231503,
ENSMUSG00000019979,Apaf1,apoptotic peptidase activating factor 1,NCBIGene:11783,
ENSMUSG00000025795,Rassf3,Ras association (RalGDS/AF-6) domain family member 3,NCBIGene:192678,
ENSMUSG00000042115,Klhdc8a,kelch domain containing 8A,NCBIGene:213417,
ENSMUSG00000029093,Sorcs2,sortilin-related VPS10 domain containing receptor 2,NCBIGene:81840,
ENSMUSG00000019876,Pkib,"protein kinase inhibitor beta, cAMP dependent, testis specific",NCBIGene:18768,
ENSMUSG00000055003,Lrtm2,leucine-rich repeats and transmembrane domains 2,NCBIGene:211187,
ENSMUSG00000100005,B130024G19Rik,RIKEN cDNA B130024G19 gene,NCBIGene:434198,
ENSMUSG00000035275,Raver2,"ribonucleoprotein, PTB-binding 2",NCBIGene:242570,
ENSMUSG00000009376,Met,met proto-oncogene,NCBIGene:17295,
ENSMUSG00000047712,Ust,uronyl-2-sulfotransferase,NCBIGene:338362,
ENSMUSG00000016194,Hsd11b1,hydroxysteroid 11-beta dehydrogenase 1,NCBIGene:15483,
ENSMUSG00000038257,Glra3,"glycine receptor, alpha 3 subunit",NCBIGene:110304,
ENSMUSG00000039087,Rreb1,ras responsive element binding protein 1,NCBIGene:68750,
ENSMUSG00000059361,Nrsn2,neurensin 2,NCBIGene:228777,
ENSMUSG00000026347,Tmem163,transmembrane protein 163,NCBIGene:72160,
ENSMUSG00000057880,Abat,4-aminobutyrate aminotransferase,NCBIGene:268860,
ENSMUSG00000029334,Prkg2,"protein kinase, cGMP-dependent, type II",NCBIGene:19092,
ENSMUSG00000029134,Plb1,phospholipase B1,NCBIGene:665270,
ENSMUSG00000029338,Antxr2,anthrax toxin receptor 2,NCBIGene:71914,
ENSMUSG00000035168,Tanc1,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1",NCBIGene:66860,
ENSMUSG00000024486,Hbegf,heparin-binding EGF-like growth factor,NCBIGene:15200,
ENSMUSG00000024867,Pip5k1b,"phosphatidylinositol-4-phosphate 5-kinase, type 1 beta",NCBIGene:18719,
ENSMUSG00000030088,Aldh1l1,"aldehyde dehydrogenase 1 family, member L1",NCBIGene:107747,
ENSMUSG00000011256,Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),NCBIGene:11492,
ENSMUSG00000024270,Slc39a6,"solute carrier family 39 (metal ion transporter), member 6",NCBIGene:106957,
ENSMUSG00000007877,Tcap,titin-cap,NCBIGene:21393,
ENSMUSG00000030223,Ptpro,"protein tyrosine phosphatase, receptor type, O",NCBIGene:19277,
ENSMUSG00000060780,Lrrtm1,leucine rich repeat transmembrane neuronal 1,NCBIGene:74342,
ENSMUSG00000038296,Galnt18,polypeptide N-acetylgalactosaminyltransferase 18,NCBIGene:233733,
ENSMUSG00000100303,2600014E21Rik,RIKEN cDNA 2600014E21 gene,,
ENSMUSG00000029167,Ppargc1a,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha",NCBIGene:19017,
ENSMUSG00000030747,Dgat2,diacylglycerol O-acyltransferase 2,NCBIGene:67800,
ENSMUSG00000022419,Deptor,DEP domain containing MTOR-interacting protein,NCBIGene:97998,
ENSMUSG00000037474,Dtl,denticleless E3 ubiquitin protein ligase,NCBIGene:76843,
ENSMUSG00000026185,Igfbp5,insulin-like growth factor binding protein 5,NCBIGene:16011,
ENSMUSG00000021215,Net1,neuroepithelial cell transforming gene 1,NCBIGene:56349,
ENSMUSG00000063415,Cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1",NCBIGene:232174,
ENSMUSG00000018589,Glra2,"glycine receptor, alpha 2 subunit",NCBIGene:237213,
ENSMUSG00000045636,Mtus1,mitochondrial tumor suppressor 1,NCBIGene:102103,
ENSMUSG00000049555,Tmie,transmembrane inner ear,NCBIGene:20776,
ENSMUSG00000047181,Samd14,sterile alpha motif domain containing 14,NCBIGene:217125,
ENSMUSG00000050600,Zfp831,zinc finger protein 831,NCBIGene:100043757,
ENSMUSG00000000983,Wfdc18,WAP four-disulfide core domain 18,NCBIGene:14038,
ENSMUSG00000035105,Egln3,egl-9 family hypoxia-inducible factor 3,NCBIGene:112407,
ENSMUSG00000002900,Lamb1,laminin B1,NCBIGene:16777,
ENSMUSG00000005087,Cd44,CD44 antigen,NCBIGene:12505,
ENSMUSG00000031119,Gpc4,glypican 4,NCBIGene:14735,
ENSMUSG00000032322,Pstpip1,proline-serine-threonine phosphatase-interacting protein 1,NCBIGene:19200,
ENSMUSG00000105797,Gm5149,predicted gene 5149,,
ENSMUSG00000035910,Dcdc2a,doublecortin domain containing 2a,NCBIGene:195208,
ENSMUSG00000112466,Gm29674,"predicted gene, 29674",NCBIGene:432500,
ENSMUSG00000051022,Hs3st1,heparan sulfate (glucosamine) 3-O-sulfotransferase 1,NCBIGene:15476,
ENSMUSG00000038530,Rgs4,regulator of G-protein signaling 4,NCBIGene:19736,
ENSMUSG00000008305,Tle1,transducin-like enhancer of split 1,NCBIGene:21885,
ENSMUSG00000078453,Abracl,ABRA C-terminal like,NCBIGene:73112,
ENSMUSG00000079055,Slc8a3,"solute carrier family 8 (sodium/calcium exchanger), member 3",NCBIGene:110893,
ENSMUSG00000019846,Lama4,"laminin, alpha 4",NCBIGene:16775,
ENSMUSG00000074227,Spint2,"serine protease inhibitor, Kunitz type 2",NCBIGene:20733,
ENSMUSG00000024598,Fbn2,fibrillin 2,NCBIGene:14119,
ENSMUSG00000048483,Zdhhc22,"zinc finger, DHHC-type containing 22",NCBIGene:238331,
ENSMUSG00000045659,Plekha7,"pleckstrin homology domain containing, family A member 7",NCBIGene:233765,
ENSMUSG00000056586,Zar1l,zygote arrest 1-like,NCBIGene:545824,
ENSMUSG00000004151,Etv1,ets variant 1,NCBIGene:14009,
ENSMUSG00000021743,Fezf2,Fez family zinc finger 2,NCBIGene:54713,
ENSMUSG00000026249,Serpine2,"serine (or cysteine) peptidase inhibitor, clade E, member 2",NCBIGene:20720,
ENSMUSG00000040998,Npnt,nephronectin,NCBIGene:114249,
ENSMUSG00000034981,Parm1,prostate androgen-regulated mucin-like protein 1,NCBIGene:231440,
ENSMUSG00000039529,Atp8b1,"ATPase, class I, type 8B, member 1",NCBIGene:54670,
ENSMUSG00000051950,B3glct,beta-3-glucosyltransferase,NCBIGene:381694,
ENSMUSG00000027864,Ptgfrn,prostaglandin F2 receptor negative regulator,NCBIGene:19221,
ENSMUSG00000031963,Bmper,BMP-binding endothelial regulator,NCBIGene:73230,
ENSMUSG00000035109,Shc4,"SHC (Src homology 2 domain containing) family, member 4",NCBIGene:271849,
ENSMUSG00000046593,Tmem215,transmembrane protein 215,NCBIGene:320500,
ENSMUSG00000022416,Cacna1i,"calcium channel, voltage-dependent, alpha 1I subunit",NCBIGene:239556,
ENSMUSG00000090223,Pcp4,Purkinje cell protein 4,NCBIGene:18546,
ENSMUSG00000086040,Wipf3,"WAS/WASL interacting protein family, member 3",NCBIGene:330319,
ENSMUSG00000030559,Rab38,"RAB38, member RAS oncogene family",NCBIGene:72433,
ENSMUSG00000085222,Gm13974,predicted gene 13974,,
ENSMUSG00000074235,Gm10649,predicted gene 10649,,
ENSMUSG00000019768,Esr1,estrogen receptor 1 (alpha),NCBIGene:13982,
ENSMUSG00000052713,Zfp608,zinc finger protein 608,NCBIGene:269023,
ENSMUSG00000015653,Steap2,six transmembrane epithelial antigen of prostate 2,NCBIGene:74051,
ENSMUSG00000086709,Gm16263,predicted gene 16263,,
ENSMUSG00000046532,Ar,androgen receptor,NCBIGene:11835,
ENSMUSG00000030554,Synm,"synemin, intermediate filament protein",NCBIGene:233335,
ENSMUSG00000029455,Aldh2,"aldehyde dehydrogenase 2, mitochondrial",NCBIGene:11669,
ENSMUSG00000112968,Gm48530,"predicted gene, 48530",,
ENSMUSG00000028957,Per3,period circadian clock 3,NCBIGene:18628,
ENSMUSG00000032735,Ablim3,"actin binding LIM protein family, member 3",NCBIGene:319713,
ENSMUSG00000046999,1110032F04Rik,RIKEN cDNA 1110032F04 gene,NCBIGene:68725,
ENSMUSG00000051243,Islr2,immunoglobulin superfamily containing leucine-rich repeat 2,NCBIGene:320563,
ENSMUSG00000041431,Ccnb1,cyclin B1,NCBIGene:268697,
ENSMUSG00000048458,Inka2,inka box actin regulator 2,NCBIGene:109050,
ENSMUSG00000034472,Rasd2,"RASD family, member 2",NCBIGene:75141,
ENSMUSG00000022231,Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",NCBIGene:20356,
ENSMUSG00000076617,Ighm,immunoglobulin heavy constant mu,NCBIGene:16019,
ENSMUSG00000028565,Nfia,nuclear factor I/A,NCBIGene:18027,
ENSMUSG00000032373,Car12,carbonic anhydrase 12,NCBIGene:76459,
ENSMUSG00000061086,Myl4,"myosin, light polypeptide 4",NCBIGene:17896,
ENSMUSG00000042501,Cpa6,carboxypeptidase A6,NCBIGene:329093,
ENSMUSG00000051435,Fhad1,forkhead-associated (FHA) phosphopeptide binding domain 1,NCBIGene:329977,
ENSMUSG00000032128,Robo3,roundabout guidance receptor 3,NCBIGene:19649,
ENSMUSG00000063428,Ddo,D-aspartate oxidase,NCBIGene:70503,
ENSMUSG00000011148,Adssl1,adenylosuccinate synthetase like 1,NCBIGene:11565,
ENSMUSG00000019960,Dusp6,dual specificity phosphatase 6,NCBIGene:67603,
ENSMUSG00000028194,Ddah1,dimethylarginine dimethylaminohydrolase 1,NCBIGene:69219,
ENSMUSG00000036390,Gadd45a,growth arrest and DNA-damage-inducible 45 alpha,NCBIGene:13197,
ENSMUSG00000045573,Penk,preproenkephalin,NCBIGene:18619,
ENSMUSG00000067212,H2-T23,"histocompatibility 2, T region locus 23",NCBIGene:15040,
ENSMUSG00000112941,Gm48623,"predicted gene, 48623",,
ENSMUSG00000053846,Lipg,"lipase, endothelial",NCBIGene:16891,
ENSMUSG00000024660,Incenp,inner centromere protein,NCBIGene:16319,
ENSMUSG00000064080,Fbln2,fibulin 2,NCBIGene:14115,
ENSMUSG00000070509,Rgma,repulsive guidance molecule family member A,NCBIGene:244058,
ENSMUSG00000047415,Gpr68,G protein-coupled receptor 68,NCBIGene:238377,
ENSMUSG00000045555,Mettl24,methyltransferase like 24,NCBIGene:327747,
ENSMUSG00000052331,Ankrd44,ankyrin repeat domain 44,NCBIGene:329154,
ENSMUSG00000100417,Gm28578,predicted gene 28578,,
ENSMUSG00000050379,Sept6,septin 6,NCBIGene:56526,
ENSMUSG00000046719,Nxph3,neurexophilin 3,NCBIGene:104079,
ENSMUSG00000000792,Slc5a5,"solute carrier family 5 (sodium iodide symporter), member 5",NCBIGene:114479,
ENSMUSG00000025324,Atp10a,"ATPase, class V, type 10A",NCBIGene:11982,
ENSMUSG00000041544,Disp3,dispatched RND transporter family member 3,NCBIGene:242748,
ENSMUSG00000036902,Neto2,neuropilin (NRP) and tolloid (TLL)-like 2,NCBIGene:74513,
ENSMUSG00000020846,Rflnb,refilin B,NCBIGene:76566,
ENSMUSG00000033306,Lpp,LIM domain containing preferred translocation partner in lipoma,NCBIGene:210126,
ENSMUSG00000026525,Opn3,opsin 3,NCBIGene:13603,
ENSMUSG00000113121,Gm35161,"predicted gene, 35161",,
ENSMUSG00000025789,St8sia2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",NCBIGene:20450,
ENSMUSG00000086596,Susd5,sushi domain containing 5,NCBIGene:382111,
ENSMUSG00000020140,Lgr5,leucine rich repeat containing G protein coupled receptor 5,NCBIGene:14160,
ENSMUSG00000074345,Tnfaip8l3,"tumor necrosis factor, alpha-induced protein 8-like 3",NCBIGene:244882,
ENSMUSG00000027858,Tspan2,tetraspanin 2,NCBIGene:70747,
ENSMUSG00000026458,Ppfia4,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4",NCBIGene:68507,
ENSMUSG00000029769,Ccdc136,coiled-coil domain containing 136,NCBIGene:232664,
ENSMUSG00000055782,Abcd2,"ATP-binding cassette, sub-family D (ALD), member 2",NCBIGene:26874,
ENSMUSG00000032323,Cyp11a1,"cytochrome P450, family 11, subfamily a, polypeptide 1",NCBIGene:13070,
ENSMUSG00000091002,Tcerg1l,transcription elongation regulator 1-like,NCBIGene:70571,
ENSMUSG00000004558,Ndrg2,N-myc downstream regulated gene 2,NCBIGene:29811,
ENSMUSG00000026475,Rgs16,regulator of G-protein signaling 16,NCBIGene:19734,
ENSMUSG00000020614,Fam20a,"family with sequence similarity 20, member A",NCBIGene:208659,
ENSMUSG00000020836,Coro6,coronin 6,NCBIGene:216961,
ENSMUSG00000030340,Scnn1a,"sodium channel, nonvoltage-gated 1 alpha",NCBIGene:20276,
ENSMUSG00000060402,Chst8,carbohydrate sulfotransferase 8,NCBIGene:68947,
ENSMUSG00000091387,Gcnt4,"glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase)",NCBIGene:218476,
ENSMUSG00000001313,Rnd2,Rho family GTPase 2,NCBIGene:11858,
ENSMUSG00000036304,Zdhhc23,"zinc finger, DHHC domain containing 23",NCBIGene:332175,
ENSMUSG00000040612,Ildr2,immunoglobulin-like domain containing receptor 2,NCBIGene:100039795,
ENSMUSG00000048281,Dleu7,"deleted in lymphocytic leukemia, 7",NCBIGene:239133,
ENSMUSG00000004347,Pde1c,phosphodiesterase 1C,NCBIGene:18575,
ENSMUSG00000019820,Utrn,utrophin,NCBIGene:22288,
ENSMUSG00000053062,Jam2,junction adhesion molecule 2,NCBIGene:67374,
ENSMUSG00000005268,Prlr,prolactin receptor,NCBIGene:19116,
ENSMUSG00000029672,Fam3c,"family with sequence similarity 3, member C",NCBIGene:27999,
ENSMUSG00000031565,Fgfr1,fibroblast growth factor receptor 1,NCBIGene:14182,
ENSMUSG00000045932,Ifit2,interferon-induced protein with tetratricopeptide repeats 2,NCBIGene:15958,
ENSMUSG00000036545,Adamts2,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2",NCBIGene:216725,
ENSMUSG00000034910,Pygo1,pygopus 1,NCBIGene:72135,
ENSMUSG00000087231,E230016M11Rik,RIKEN cDNA E230016M11 gene,NCBIGene:320172,
ENSMUSG00000036782,Klhl13,kelch-like 13,NCBIGene:67455,
ENSMUSG00000040016,Ptger3,prostaglandin E receptor 3 (subtype EP3),NCBIGene:19218,
ENSMUSG00000047496,Rnf152,ring finger protein 152,NCBIGene:320311,
ENSMUSG00000057329,Bcl2,B cell leukemia/lymphoma 2,NCBIGene:12043,
ENSMUSG00000032332,Col12a1,"collagen, type XII, alpha 1",NCBIGene:12816,
ENSMUSG00000111765,Gm10635,predicted gene 10635,NCBIGene:100038575,
ENSMUSG00000059674,Cdh24,cadherin-like 24,NCBIGene:239096,
ENSMUSG00000021959,Lats2,large tumor suppressor 2,NCBIGene:50523,
ENSMUSG00000028339,Col15a1,"collagen, type XV, alpha 1",NCBIGene:12819,
ENSMUSG00000031543,Ank1,"ankyrin 1, erythroid",NCBIGene:11733,
ENSMUSG00000022358,Fbxo32,F-box protein 32,NCBIGene:67731,
ENSMUSG00000079434,Neu2,neuraminidase 2,NCBIGene:23956,
ENSMUSG00000038608,Dock10,dedicator of cytokinesis 10,NCBIGene:210293,
ENSMUSG00000000708,Kat2b,K(lysine) acetyltransferase 2B,NCBIGene:18519,
ENSMUSG00000026630,Batf3,"basic leucine zipper transcription factor, ATF-like 3",NCBIGene:381319,
ENSMUSG00000026645,Olah,oleoyl-ACP hydrolase,NCBIGene:99035,
ENSMUSG00000020689,Itgb3,integrin beta 3,NCBIGene:16416,
ENSMUSG00000039714,Cplx3,complexin 3,NCBIGene:235415,
ENSMUSG00000046743,Fat4,FAT atypical cadherin 4,NCBIGene:329628,
ENSMUSG00000074607,Tox2,TOX high mobility group box family member 2,NCBIGene:269389,
ENSMUSG00000063087,Gm10125,predicted gene 10125,NCBIGene:791318,
ENSMUSG00000039911,Spsb1,splA/ryanodine receptor domain and SOCS box containing 1,NCBIGene:74646,
ENSMUSG00000064090,Vrk2,vaccinia related kinase 2,NCBIGene:69922,
ENSMUSG00000023972,Ptk7,PTK7 protein tyrosine kinase 7,NCBIGene:71461,
ENSMUSG00000016256,Ctsz,cathepsin Z,NCBIGene:64138,
ENSMUSG00000049866,Arl4c,ADP-ribosylation factor-like 4C,NCBIGene:320982,
ENSMUSG00000031990,Jam3,junction adhesion molecule 3,NCBIGene:83964,
ENSMUSG00000079481,Nhsl2,NHS-like 2,NCBIGene:100042480,
ENSMUSG00000099013,Gm27153,predicted gene 27153,,
ENSMUSG00000026637,Traf5,TNF receptor-associated factor 5,NCBIGene:22033,
ENSMUSG00000093436,Gm20646,predicted gene 20646,NCBIGene:108167623,
ENSMUSG00000063018,2010204K13Rik,RIKEN cDNA 2010204K13 gene,,
ENSMUSG00000061718,Ppp1r1b,"protein phosphatase 1, regulatory inhibitor subunit 1B",NCBIGene:19049,
ENSMUSG00000020814,Mxra7,matrix-remodelling associated 7,NCBIGene:67622,
ENSMUSG00000026834,Acvr1c,"activin A receptor, type IC",NCBIGene:269275,
ENSMUSG00000038264,Sema7a,"sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A",NCBIGene:20361,
ENSMUSG00000046480,Scn4b,"sodium channel, type IV, beta",NCBIGene:399548,
ENSMUSG00000030337,Vamp1,vesicle-associated membrane protein 1,NCBIGene:22317,
ENSMUSG00000056665,Them6,thioesterase superfamily member 6,NCBIGene:223626,
ENSMUSG00000030739,Myh14,"myosin, heavy polypeptide 14",NCBIGene:71960,
ENSMUSG00000106644,Gm40331,"predicted gene, 40331",,
ENSMUSG00000020810,Cygb,cytoglobin,NCBIGene:114886,
ENSMUSG00000033061,Resp18,regulated endocrine-specific protein 18,NCBIGene:19711,
ENSMUSG00000020415,Pttg1,pituitary tumor-transforming gene 1,NCBIGene:30939,
ENSMUSG00000026385,Dbi,diazepam binding inhibitor,NCBIGene:13167,
ENSMUSG00000055435,Maf,avian musculoaponeurotic fibrosarcoma oncogene homolog,NCBIGene:17132,
ENSMUSG00000051456,Hspb3,heat shock protein 3,NCBIGene:56534,
ENSMUSG00000032380,Dapk2,death-associated protein kinase 2,NCBIGene:13143,
ENSMUSG00000054196,Cthrc1,collagen triple helix repeat containing 1,NCBIGene:68588,
ENSMUSG00000017167,Cntnap1,contactin associated protein-like 1,NCBIGene:53321,
ENSMUSG00000047976,Kcna1,"potassium voltage-gated channel, shaker-related subfamily, member 1",NCBIGene:16485,
ENSMUSG00000020848,Doc2b,"double C2, beta",NCBIGene:13447,
ENSMUSG00000000632,Sez6,seizure related gene 6,NCBIGene:20370,
ENSMUSG00000049946,BC030500,cDNA sequence BC030500,NCBIGene:234290,
ENSMUSG00000009621,Vav2,vav 2 oncogene,NCBIGene:22325,
ENSMUSG00000085795,Zfp703,zinc finger protein 703,NCBIGene:353310,
